date,tournament,round,player1_firstname,player1_lastname,player2_firstname,player2_lastname,category,URL
2025-01-15,Australian Open,R64,Carlos,Alcaraz,Yoshihito,Nishioka,ATP,20250115-M-Australian_Open-R64-Carlos_Alcaraz-Yoshihito_Nishioka.html
2025-01-15,Australian Open,R64,Arthur,Cazaux,Jacob,Fearnley,ATP,20250115-M-Australian_Open-R64-Arthur_Cazaux-Jacob_Fearnley.html
2025-01-15,Australian Open,R64,Alexander,Zverev,Pedro,Martinez,ATP,20250115-M-Australian_Open-R64-Alexander_Zverev-Pedro_Martinez.html
2025-01-14,Australian Open,R64,Liudmila,Samsonova,Olga,Danilovic,WTA,20250114-W-Australian_Open-R64-Liudmila_Samsonova-Olga_Danilovic.html
2025-01-14,Australian Open,R128,Sijia,Wei,Jasmine,Paolini,WTA,20250114-W-Australian_Open-R128-Sijia_Wei-Jasmine_Paolini.html
2025-01-14,Australian Open,R128,Olivia,Gadecki,Veronika,Kudermetova,WTA,20250114-W-Australian_Open-R128-Olivia_Gadecki-Veronika_Kudermetova.html
2025-01-14,Australian Open,R128,Eva,Lys,Kimberly,Birrell,WTA,20250114-W-Australian_Open-R128-Eva_Lys-Kimberly_Birrell.html
2025-01-14,Australian Open,R128,Emma,Raducanu,Ekaterina,Alexandrova,WTA,20250114-W-Australian_Open-R128-Emma_Raducanu-Ekaterina_Alexandrova.html
2025-01-14,Australian Open,R128,Elena,Rybakina,Emerson,Jones,WTA,20250114-W-Australian_Open-R128-Elena_Rybakina-Emerson_Jones.html
2025-01-14,Australian Open,R128,Taylor,Fritz,Jenson,Brooksby,ATP,20250114-M-Australian_Open-R128-Taylor_Fritz-Jenson_Brooksby.html
2025-01-14,Australian Open,R128,Matteo,Arnaldi,Lorenzo,Musetti,ATP,20250114-M-Australian_Open-R128-Matteo_Arnaldi-Lorenzo_Musetti.html
2025-01-14,Australian Open,R128,Kasidit,Samrej,Daniil,Medvedev,ATP,20250114-M-Australian_Open-R128-Kasidit_Samrej-Daniil_Medvedev.html
2025-01-14,Australian Open,R128,Hubert,Hurkacz,Tallon,Griekspoor,ATP,20250114-M-Australian_Open-R128-Hubert_Hurkacz-Tallon_Griekspoor.html
2025-01-14,Australian Open,R128,Bu,Yunchaokete,Hady,Habib,ATP,20250114-M-Australian_Open-R128-Bu_Yunchaokete-Hady_Habib.html
2025-01-14,Australian Open,R128,Andrey,Rublev,Joao,Fonseca,ATP,20250114-M-Australian_Open-R128-Andrey_Rublev-Joao_Fonseca.html
2025-01-14,Australian Open,R128,Alex De,Minaur,Botic Van De,Zandschulp,ATP,20250114-M-Australian_Open-R128-Alex_De_Minaur-Botic_Van_De_Zandschulp.html
2025-01-13,Australian Open,R128,Viktoriya,Tomova,Daria,Kasatkina,WTA,20250113-W-Australian_Open-R128-Viktoriya_Tomova-Daria_Kasatkina.html
2025-01-13,Australian Open,R128,Maya,Joint,Jessica,Pegula,WTA,20250113-W-Australian_Open-R128-Maya_Joint-Jessica_Pegula.html
2025-01-13,Australian Open,R128,Marta,Kostyuk,Nao,Hibino,WTA,20250113-W-Australian_Open-R128-Marta_Kostyuk-Nao_Hibino.html
2025-01-13,Australian Open,R128,Iga,Swiatek,Katerina,Siniakova,WTA,20250113-W-Australian_Open-R128-Iga_Swiatek-Katerina_Siniakova.html
2025-01-13,Australian Open,R128,Coco,Gauff,Sofia,Kenin,WTA,20250113-W-Australian_Open-R128-Coco_Gauff-Sofia_Kenin.html
2025-01-13,Australian Open,R128,Novak,Djokovic,Nishesh,Basavareddy,ATP,20250113-M-Australian_Open-R128-Novak_Djokovic-Nishesh_Basavareddy.html
2025-01-13,Australian Open,R128,Jannik,Sinner,Nicolas,Jarry,ATP,20250113-M-Australian_Open-R128-Jannik_Sinner-Nicolas_Jarry.html
2025-01-13,Australian Open,R128,Christopher,Oconnell,Tommy,Paul,ATP,20250113-M-Australian_Open-R128-Christopher_Oconnell-Tommy_Paul.html
2025-01-13,Australian Open,R128,Alexander,Shevchenko,Carlos,Alcaraz,ATP,20250113-M-Australian_Open-R128-Alexander_Shevchenko-Carlos_Alcaraz.html
2025-01-13,Australian Open,R128,Alex,Michelsen,Stefanos,Tsitsipas,ATP,20250113-M-Australian_Open-R128-Alex_Michelsen-Stefanos_Tsitsipas.html
2025-01-12,Australian Open,R128,Suzan,Lamens,Veronika,Erjavec,WTA,20250112-W-Australian_Open-R128-Suzan_Lamens-Veronika_Erjavec.html
2025-01-12,Australian Open,R128,Sonay,Kartal,Jessica Bouzas,Maneiro,WTA,20250112-W-Australian_Open-R128-Sonay_Kartal-Jessica_Bouzas_Maneiro.html
2025-01-12,Australian Open,R128,Anca Alexia,Todoni,Qinwen,Zheng,WTA,20250112-W-Australian_Open-R128-Anca_Alexia_Todoni-Qinwen_Zheng.html
2025-01-12,Australian Open,R128,Otto,Virtanen,Arthur,Fils,ATP,20250112-M-Australian_Open-R128-Otto_Virtanen-Arthur_Fils.html
2025-01-12,Australian Open,R128,Kei,Nishikori,Thiago,Monteiro,ATP,20250112-M-Australian_Open-R128-Kei_Nishikori-Thiago_Monteiro.html
2025-01-12,Australian Open,R128,Casper,Ruud,Jaume,Munar,ATP,20250112-M-Australian_Open-R128-Casper_Ruud-Jaume_Munar.html
2025-01-11,Australian Open,R128,Marie,Bouzkova,Mirra,Andreeva,WTA,20250111-W-Australian_Open-R128-Marie_Bouzkova-Mirra_Andreeva.html
2025-01-09,Australian Open,Q3,Polina,Kudermetova,Elena,Micic,WTA,20250109-W-Australian_Open-Q3-Polina_Kudermetova-Elena_Micic.html
2025-01-08,Australian Open,Q2,Khumoyun,Sultanov,Dalibor,Svrcina,ATP,20250108-M-Australian_Open-Q2-Khumoyun_Sultanov-Dalibor_Svrcina.html
2025-01-06,Australian Open,Q1,Alice,Tubello,Maria,Timofeeva,WTA,20250106-W-Australian_Open-Q1-Alice_Tubello-Maria_Timofeeva.html
2025-01-06,Australian Open,Q1,Elmer,Moller,Lukas,Neumayer,ATP,20250106-M-Australian_Open-Q1-Elmer_Moller-Lukas_Neumayer.html
2025-01-25,Oeiras 3 CH,R32,Clement,Chidekh,Adrian,Andreev,ATP,20250125-M-Oeiras_3_CH-R32-Clement_Chidekh-Adrian_Andreev.html
2025-01-24,Australian Open Juniors,F,Kristina,Penickova,Wakana,Sonobe,WTA,20250124-W-Australian_Open_Juniors-F-Kristina_Penickova-Wakana_Sonobe.html
2025-01-24,Australian Open Juniors,F,Benjamin,Willwerth,Henry,Bernet,ATP,20250124-M-Australian_Open_Juniors-F-Benjamin_Willwerth-Henry_Bernet.html
2025-01-14,Buenos Aires CH,R32,Juan Pablo,Varillas,Juan Carlos Prado,Angelo,ATP,20250114-M-Buenos_Aires_CH-R32-Juan_Pablo_Varillas-Juan_Carlos_Prado_Angelo.html
2025-01-11,Adelaide,F,Jessica,Pegula,Madison,Keys,WTA,20250111-W-Adelaide-F-Jessica_Pegula-Madison_Keys.html
2025-01-11,Adelaide,F,Felix Auger,Aliassime,Sebastian,Korda,ATP,20250111-M-Adelaide-F-Felix_Auger_Aliassime-Sebastian_Korda.html
2025-01-08,Adelaide,R16,Emerson,Jones,Daria,Kasatkina,WTA,20250108-W-Adelaide-R16-Emerson_Jones-Daria_Kasatkina.html
